case,time_sec,nearest_same_layer_separation
case_3_same_layer_future_conflict,0.0,2.8929469931571794
case_3_same_layer_future_conflict,0.5,2.935191360519573
case_3_same_layer_future_conflict,1.0,2.908873156965549
case_3_same_layer_future_conflict,1.5,2.8867660342388497
case_3_same_layer_future_conflict,2.0,2.868967340739498
case_3_same_layer_future_conflict,2.5,2.855557640934437
case_3_same_layer_future_conflict,3.0,2.8465989622429486
case_3_same_layer_future_conflict,3.5,2.8421333951207526
case_3_same_layer_future_conflict,4.0,2.8421821180482087
case_3_same_layer_future_conflict,4.5,2.8467448992348765
case_3_same_layer_future_conflict,5.0,2.8558001021011568
case_3_same_layer_future_conflict,5.5,2.8693051942371985
case_3_same_layer_future_conflict,6.0,2.887197732207921
case_3_same_layer_future_conflict,6.5,2.9093967699045375
case_3_same_layer_future_conflict,7.0,2.935804618374621
case_3_same_layer_future_conflict,7.5,2.966308871726434
case_3_same_layer_future_conflict,8.0,3.0007846074602806
case_3_same_layer_future_conflict,8.5,3.039096670218398
case_3_same_layer_future_conflict,9.0,3.0517573224080956
case_3_same_layer_future_conflict,9.5,3.02172122690374
case_3_same_layer_future_conflict,10.0,3.002115124157543
case_3_same_layer_future_conflict,10.5,2.9931439811001193
case_3_same_layer_future_conflict,11.0,2.9949033693630054
case_3_same_layer_future_conflict,11.5,3.0073744561283835
case_3_same_layer_future_conflict,12.0,3.0304249989482823
case_3_same_layer_future_conflict,12.5,3.0638162243276774
case_3_same_layer_future_conflict,13.0,3.107214776287907
case_3_same_layer_future_conflict,13.5,3.160208395475829
case_3_same_layer_future_conflict,14.0,3.2223237216356013
case_3_same_layer_future_conflict,14.5,3.293044618361663
case_3_same_layer_future_conflict,15.0,3.371829648329154
case_3_same_layer_future_conflict,15.5,3.458127690457352
case_3_same_layer_future_conflict,16.0,3.5513910932182466
case_3_same_layer_future_conflict,16.5,3.6109020521116295
case_3_same_layer_future_conflict,17.0,3.6775208608637158
case_3_same_layer_future_conflict,17.5,3.71811077615296
case_3_same_layer_future_conflict,18.0,3.734667721617603
case_3_same_layer_future_conflict,18.5,3.7580127127314222
case_3_same_layer_future_conflict,19.0,3.7880202505029543
case_3_same_layer_future_conflict,19.5,3.8245335138289556
case_3_same_layer_future_conflict,20.0,3.867368238168195
case_3_same_layer_future_conflict,20.5,3.9163170060395256
case_3_same_layer_future_conflict,21.0,3.971153737266732
case_3_same_layer_future_conflict,21.5,4.031638181835218
case_3_same_layer_future_conflict,22.0,4.097520245766524
case_3_same_layer_future_conflict,22.5,4.168544015686105
case_3_same_layer_future_conflict,23.0,4.244451385982555
case_3_same_layer_future_conflict,23.5,4.324985229597546
case_3_same_layer_future_conflict,24.0,4.40524295920343
case_3_same_layer_future_conflict,24.5,4.36024295920343
case_3_same_layer_future_conflict,25.0,4.31524295920343
case_3_same_layer_future_conflict,25.5,4.27024295920343
case_3_same_layer_future_conflict,26.0,4.22524295920343
case_3_same_layer_future_conflict,26.5,4.18024295920343
case_3_same_layer_future_conflict,27.0,4.13524295920343
case_3_same_layer_future_conflict,27.5,4.09024295920343
case_3_same_layer_future_conflict,28.0,4.0452429592034305
case_3_same_layer_future_conflict,28.5,4.0002429592034305
case_3_same_layer_future_conflict,29.0,3.9552429592034306
case_3_same_layer_future_conflict,29.5,3.9102429592034307
case_3_same_layer_future_conflict,30.0,3.8652429592034308
case_3_same_layer_future_conflict,30.5,3.820242959203431
case_3_same_layer_future_conflict,31.0,3.775242959203431
case_3_same_layer_future_conflict,31.5,3.730242959203431
case_3_same_layer_future_conflict,32.0,3.685242959203431
case_3_same_layer_future_conflict,32.5,3.640242959203431
case_4_dynamic_ascent_zone,0.0,2.8548539082953495
case_4_dynamic_ascent_zone,0.5,2.886543642617483
case_4_dynamic_ascent_zone,1.0,2.923325176759938
case_4_dynamic_ascent_zone,1.5,2.9650090223705194
case_4_dynamic_ascent_zone,2.0,3.0113916121480413
case_4_dynamic_ascent_zone,2.5,3.062259444594713
case_4_dynamic_ascent_zone,3.0,3.117392964581207
case_4_dynamic_ascent_zone,3.5,3.176570070146137
case_4_dynamic_ascent_zone,4.0,3.239569176725973
case_4_dynamic_ascent_zone,4.5,3.3061718068416686
case_4_dynamic_ascent_zone,5.0,3.37616470380717
case_4_dynamic_ascent_zone,5.5,3.4493414912746667
case_4_dynamic_ascent_zone,6.0,3.5255039164552744
case_4_dynamic_ascent_zone,6.5,3.6044627244252294
case_4_dynamic_ascent_zone,7.0,3.686038215200348
case_4_dynamic_ascent_zone,7.5,3.770060535506123
case_4_dynamic_ascent_zone,8.0,3.8563697545957676
case_4_dynamic_ascent_zone,8.5,3.797487210524744
case_4_dynamic_ascent_zone,9.0,3.714964282525181
case_4_dynamic_ascent_zone,9.5,3.6333194363799985
case_4_dynamic_ascent_zone,10.0,3.552613211864683
case_4_dynamic_ascent_zone,10.5,3.4729110468675026
case_4_dynamic_ascent_zone,11.0,3.3942836719686773
case_4_dynamic_ascent_zone,11.5,3.316807524130998
case_4_dynamic_ascent_zone,12.0,3.240565175778885
case_4_dynamic_ascent_zone,12.5,3.1656457737418555
case_4_dynamic_ascent_zone,13.0,3.0921454802690804
case_4_dynamic_ascent_zone,13.5,3.0201679055124298
case_4_dynamic_ascent_zone,14.0,2.9364497022576734
case_4_dynamic_ascent_zone,14.5,2.848296090581577
case_4_dynamic_ascent_zone,15.0,2.7609499063466196
case_4_dynamic_ascent_zone,15.5,2.674490260047421
case_4_dynamic_ascent_zone,16.0,2.58900597079683
case_4_dynamic_ascent_zone,16.5,2.504596910194283
case_4_dynamic_ascent_zone,17.0,2.421375528142601
case_4_dynamic_ascent_zone,17.5,2.339468575130039
case_4_dynamic_ascent_zone,18.0,2.2590190304099007
case_4_dynamic_ascent_zone,18.5,2.1801882362509897
case_4_dynamic_ascent_zone,19.0,2.1031582230589105
case_4_dynamic_ascent_zone,19.5,2.0281341861310427
case_4_dynamic_ascent_zone,20.0,1.9553470389387513
case_4_dynamic_ascent_zone,20.5,1.8850559165233414
case_4_dynamic_ascent_zone,21.0,1.8175504323547034
case_4_dynamic_ascent_zone,21.5,1.7531524006445882
case_4_dynamic_ascent_zone,22.0,1.6922166249091741
case_4_dynamic_ascent_zone,22.5,1.6351302307009408
case_4_dynamic_ascent_zone,23.0,1.5823099055132102
case_4_dynamic_ascent_zone,23.5,1.5341963377672163
case_4_dynamic_ascent_zone,24.0,1.4912451738568853
case_4_dynamic_ascent_zone,24.5,1.453914005120167
case_4_dynamic_ascent_zone,25.0,1.422645317715445
case_4_dynamic_ascent_zone,25.5,1.3978460093124678
case_4_dynamic_ascent_zone,26.0,1.379864932333562
case_4_dynamic_ascent_zone,26.5,1.3490455658084497
case_4_dynamic_ascent_zone,27.0,1.2995642973467962
case_4_dynamic_ascent_zone,27.5,1.2561093850654506
case_4_dynamic_ascent_zone,28.0,1.2193253099811125
case_4_dynamic_ascent_zone,28.5,1.189830927431107
case_4_dynamic_ascent_zone,29.0,1.1681785223939878
case_4_dynamic_ascent_zone,29.5,1.1548092849010314
